data,k,alpha,run idx,result,violation,time, status
dense_25,4,2,1,12608.748505,0,49.000000,FEASIBLE
dense_25,4,2,2,12564.748505,0,48.000000,FEASIBLE
dense_25,4,2,3,12572.748505,0,82.000000,FEASIBLE
dense_25,4,2,4,12570.748505,0,45.000000,FEASIBLE
dense_30,2,1,0,13385.085908,0,106.000000,FEASIBLE
dense_30,2,1,1,12911.085908,0,131.000000,FEASIBLE
dense_30,2,1,2,12954.085908,0,129.000000,FEASIBLE
dense_30,2,1,3,13133.085908,0,142.000000,FEASIBLE
dense_30,2,1,4,13170.085908,0,74.000000,FEASIBLE
dense_30,2,2,0,12750.085908,0,81.000000,FEASIBLE
dense_30,2,2,1,12453.085908,0,73.000000,FEASIBLE
dense_30,2,2,2,13058.085908,0,82.000000,FEASIBLE
dense_30,2,2,3,12480.085908,0,71.000000,FEASIBLE
dense_30,2,2,4,12453.085908,0,73.000000,FEASIBLE
dense_30,3,1,0,17919.085908,0,54.000000,FEASIBLE
dense_30,3,1,1,17680.085908,0,61.000000,FEASIBLE
dense_30,3,1,2,17752.085908,0,54.000000,FEASIBLE
dense_30,3,1,3,17731.085908,0,76.000000,FEASIBLE
dense_30,3,1,4,17694.085908,0,57.000000,FEASIBLE
dense_30,3,2,0,16977.085908,0,63.000000,FEASIBLE
dense_30,3,2,1,17217.085908,0,67.000000,FEASIBLE
dense_30,3,2,2,16825.085908,0,53.000000,FEASIBLE
dense_30,3,2,3,17028.085908,0,56.000000,FEASIBLE
dense_30,3,2,4,17044.085908,0,54.000000,FEASIBLE
dense_30,4,1,0,19386.085908,0,47.000000,FEASIBLE
dense_30,4,1,1,19685.085908,0,45.000000,FEASIBLE
dense_30,4,1,2,19366.085908,0,49.000000,FEASIBLE
dense_30,4,1,3,19519.085908,0,50.000000,FEASIBLE
dense_30,4,1,4,19482.085908,0,45.000000,FEASIBLE
dense_30,4,2,0,19656.085908,0,59.000000,FEASIBLE
dense_30,4,2,1,19395.085908,0,59.000000,FEASIBLE
dense_30,4,2,2,19702.085908,0,46.000000,FEASIBLE
dense_30,4,2,3,19567.085908,0,46.000000,FEASIBLE
dense_30,4,2,4,19545.085908,0,58.000000,FEASIBLE
dense_20,2,1,0,5765.679510,0,60.000000,FEASIBLE
dense_20,2,1,1,5799.679510,0,54.000000,FEASIBLE
dense_20,2,1,2,5599.679510,0,38.000000,FEASIBLE
dense_20,2,1,3,5720.679510,0,50.000000,FEASIBLE
dense_20,2,1,4,5802.679510,0,60.000000,FEASIBLE
dense_20,2,2,0,5473.679510,0,36.000000,FEASIBLE
dense_20,2,2,1,5521.679510,0,36.000000,FEASIBLE
dense_20,2,2,2,5631.679510,0,36.000000,FEASIBLE
dense_20,2,2,3,5622.679510,0,37.000000,FEASIBLE
dense_20,2,2,4,5688.679510,0,42.000000,FEASIBLE
dense_20,3,1,0,7591.679510,0,32.000000,FEASIBLE
dense_20,3,1,1,7571.679510,0,42.000000,FEASIBLE
dense_20,3,1,2,7555.679510,0,38.000000,FEASIBLE
dense_20,3,1,3,7652.679510,0,44.000000,FEASIBLE
dense_20,3,1,4,7596.679510,0,33.000000,FEASIBLE
dense_20,3,2,0,7616.679510,0,35.000000,FEASIBLE
dense_20,3,2,1,7650.679510,0,35.000000,FEASIBLE
dense_20,3,2,2,7552.679510,0,32.000000,FEASIBLE
dense_20,3,2,3,7597.679510,0,33.000000,FEASIBLE
dense_20,3,2,4,7597.679510,0,33.000000,FEASIBLE
dense_20,4,1,0,8862.679510,0,31.000000,FEASIBLE
dense_20,4,1,1,8844.679510,0,30.000000,FEASIBLE
dense_20,4,1,2,8818.679510,0,30.000000,FEASIBLE
dense_20,4,1,3,8848.679510,0,30.000000,FEASIBLE
dense_20,4,1,4,8798.679510,0,31.000000,FEASIBLE
dense_20,4,2,0,8425.679510,0,34.000000,FEASIBLE
dense_20,4,2,1,8582.679510,0,30.000000,FEASIBLE
dense_20,4,2,2,8599.679510,0,31.000000,FEASIBLE
dense_20,4,2,3,8617.679510,0,44.000000,FEASIBLE
dense_20,4,2,4,8516.679510,0,53.000000,FEASIBLE
dense_35,2,1,0,17082.286785,0,93.000000,FEASIBLE
dense_35,2,1,1,17131.286785,0,100.000000,FEASIBLE
dense_35,2,1,2,17136.286785,0,120.000000,FEASIBLE
dense_35,2,1,3,17247.286785,0,106.000000,FEASIBLE
dense_35,2,1,4,16968.286785,0,92.000000,FEASIBLE
dense_35,2,2,0,17258.286785,0,90.000000,FEASIBLE
dense_35,2,2,1,17072.286785,0,94.000000,FEASIBLE
dense_35,2,2,2,17291.286785,0,129.000000,FEASIBLE
dense_35,2,2,3,17629.286785,0,156.000000,FEASIBLE
dense_35,2,2,4,17398.286785,0,156.000000,FEASIBLE
dense_35,3,1,0,23372.286785,0,67.000000,FEASIBLE
dense_35,3,1,1,23061.286785,0,69.000000,FEASIBLE
dense_35,3,1,2,23090.286785,0,70.000000,FEASIBLE
dense_35,3,1,3,22875.286785,0,65.000000,FEASIBLE
dense_35,3,1,4,23132.286785,0,66.000000,FEASIBLE
dense_35,3,2,0,23301.286785,0,65.000000,FEASIBLE
dense_35,3,2,1,23089.286785,0,66.000000,FEASIBLE
dense_35,3,2,2,23538.286785,0,65.000000,FEASIBLE
dense_35,3,2,3,23427.286785,0,113.000000,FEASIBLE
dense_35,3,2,4,23443.286785,0,124.000000,FEASIBLE
dense_35,4,1,0,26276.286785,0,96.000000,FEASIBLE
dense_35,4,1,1,26187.286785,0,76.000000,FEASIBLE
dense_35,4,1,2,26128.286785,0,54.000000,FEASIBLE
dense_35,4,1,3,26323.286785,0,57.000000,FEASIBLE
dense_35,4,1,4,26259.286785,0,54.000000,FEASIBLE
dense_35,4,2,0,25895.286785,0,54.000000,FEASIBLE
dense_35,4,2,1,26152.286785,0,54.000000,FEASIBLE
dense_35,4,2,2,26046.286785,0,54.000000,FEASIBLE
dense_35,4,2,3,26154.286785,0,54.000000,FEASIBLE
dense_35,4,2,4,26145.286785,0,56.000000,FEASIBLE
dense_5,2,1,0,271.278458,0,11.000000,FEASIBLE
dense_5,2,1,1,271.278458,0,12.000000,FEASIBLE
dense_5,2,1,2,271.278458,0,12.000000,FEASIBLE
dense_5,2,1,3,271.278458,0,11.000000,FEASIBLE
dense_5,2,1,4,271.278458,0,11.000000,FEASIBLE
dense_5,2,2,0,271.278458,0,11.000000,FEASIBLE
dense_5,2,2,1,271.278458,0,11.000000,FEASIBLE
dense_5,2,2,2,271.278458,0,10.000000,FEASIBLE
dense_5,2,2,3,271.278458,0,12.000000,FEASIBLE
dense_5,2,2,4,271.278458,0,10.000000,FEASIBLE
dense_5,3,1,0,394.278458,0,11.000000,FEASIBLE
dense_5,3,1,1,394.278458,0,11.000000,FEASIBLE
dense_5,3,1,2,394.278458,0,11.000000,FEASIBLE
dense_5,3,1,3,394.278458,0,11.000000,FEASIBLE
dense_5,3,1,4,394.278458,0,10.000000,FEASIBLE
dense_5,3,2,0,322.278458,0,16.000000,FEASIBLE
dense_5,3,2,1,322.278458,0,11.000000,FEASIBLE
dense_5,3,2,2,322.278458,0,12.000000,FEASIBLE
dense_5,3,2,3,322.278458,0,12.000000,FEASIBLE
dense_5,3,2,4,322.278458,0,12.000000,FEASIBLE
dense_5,4,1,0,458.278458,0,12.000000,FEASIBLE
dense_5,4,1,1,458.278458,0,12.000000,FEASIBLE
dense_5,4,1,2,458.278458,0,13.000000,FEASIBLE
dense_5,4,1,3,458.278458,0,12.000000,FEASIBLE
dense_5,4,1,4,458.278458,0,13.000000,FEASIBLE
dense_5,4,2,0,394.278458,0,12.000000,FEASIBLE
dense_5,4,2,1,394.278458,0,14.000000,FEASIBLE
dense_5,4,2,2,394.278458,0,14.000000,FEASIBLE
dense_5,4,2,3,394.278458,0,11.000000,FEASIBLE
dense_5,4,2,4,394.278458,0,13.000000,FEASIBLE
