data,k,alpha,run idx,result,violation,time, status
dense_200,8,10,4,1026459.981483,0,573.000000,FEASIBLE
dense_200,8,11,0,1032856.533169,0,553.000000,FEASIBLE
dense_200,8,11,1,1028864.241179,0,611.000000,FEASIBLE
dense_200,8,11,2,1030770.938476,0,621.000000,FEASIBLE
dense_200,8,11,3,1031436.453942,0,598.000000,FEASIBLE
dense_200,8,11,4,1031685.907228,0,557.000000,FEASIBLE
dense_400,6,10,0,3933630.583491,0,4986.000000,FEASIBLE
dense_400,6,10,1,3937456.522985,0,4919.000000,FEASIBLE
dense_400,6,10,2,3954806.654154,0,4921.000000,FEASIBLE
dense_400,6,10,3,3955294.919247,0,4943.000000,FEASIBLE
dense_400,6,10,4,3936612.957783,0,4684.000000,FEASIBLE
dense_400,6,11,0,3948965.093022,0,4934.000000,FEASIBLE
dense_400,6,11,1,3935146.227871,0,4977.000000,FEASIBLE
dense_400,6,11,2,3939402.862413,0,4892.000000,FEASIBLE
dense_400,6,11,3,3941049.741560,0,4826.000000,FEASIBLE
dense_400,6,11,4,3929305.628430,0,4999.000000,FEASIBLE
dense_400,7,10,0,4062465.691623,0,5162.000000,FEASIBLE
dense_400,7,10,1,4057543.404519,0,5082.000000,FEASIBLE
dense_400,7,10,2,4064453.022506,0,5167.000000,FEASIBLE
dense_400,7,10,3,4057273.030471,0,5037.000000,FEASIBLE
dense_400,7,10,4,4063502.195435,0,5096.000000,FEASIBLE
dense_400,7,11,0,4061844.589071,0,5116.000000,FEASIBLE
dense_400,7,11,1,4066803.678757,0,5060.000000,FEASIBLE
dense_400,7,11,2,4060613.546929,0,5188.000000,FEASIBLE
dense_400,7,11,3,4060380.883121,0,4864.000000,FEASIBLE
dense_400,7,11,4,4061823.164981,0,5195.000000,FEASIBLE
dense_400,8,10,0,4147332.735165,0,5795.000000,FEASIBLE
dense_400,8,10,1,4134805.092891,0,5175.000000,FEASIBLE
dense_400,8,10,2,4132010.613322,0,5235.000000,FEASIBLE
dense_400,8,10,3,4156073.948225,0,5488.000000,FEASIBLE
dense_400,8,10,4,4127437.405854,0,5221.000000,FEASIBLE
dense_400,8,11,0,4144808.557661,0,5220.000000,FEASIBLE
dense_400,8,11,1,4144940.204478,0,5358.000000,FEASIBLE
dense_400,8,11,2,4138813.824762,0,5370.000000,FEASIBLE
dense_400,8,11,3,4138671.127763,0,5574.000000,FEASIBLE
dense_400,8,11,4,4156456.491245,0,5524.000000,FEASIBLE
dense_600,6,10,0,8877641.969970,0,28071.000000,FEASIBLE
dense_600,6,10,1,8893332.407475,0,27282.000000,FEASIBLE
dense_600,6,10,2,8857243.507760,0,27086.000000,FEASIBLE
dense_600,6,10,3,8865200.019099,0,26077.000000,FEASIBLE
dense_600,6,10,4,8862531.694228,0,28068.000000,FEASIBLE
dense_600,6,11,0,8896866.268559,0,26590.000000,FEASIBLE
dense_600,6,11,1,8894966.751324,0,26309.000000,FEASIBLE
dense_600,6,11,2,8885293.913977,0,26206.000000,FEASIBLE
dense_600,6,11,3,8879697.211864,0,25844.000000,FEASIBLE
dense_600,6,11,4,8886326.389791,0,23321.000000,FEASIBLE
dense_600,7,10,0,9143591.274976,0,26289.000000,FEASIBLE
dense_600,7,10,1,9160296.634494,0,26704.000000,FEASIBLE
dense_600,7,10,2,9155644.400391,0,26663.000000,FEASIBLE
dense_600,7,10,3,9156803.883989,0,26473.000000,FEASIBLE
dense_600,7,10,4,9157743.751495,0,27322.000000,FEASIBLE
dense_600,7,11,0,9136733.948852,0,26662.000000,FEASIBLE
dense_600,7,11,1,9153703.160771,0,25721.000000,FEASIBLE
dense_600,7,11,2,9158658.895805,0,26897.000000,FEASIBLE
dense_600,7,11,3,9168199.584563,0,25903.000000,FEASIBLE
dense_600,7,11,4,9119991.029728,0,26216.000000,FEASIBLE
dense_600,8,10,0,9376647.880911,0,27380.000000,FEASIBLE
dense_600,8,10,1,9351646.775207,0,27439.000000,FEASIBLE
dense_600,8,10,2,9344659.386862,0,27120.000000,FEASIBLE
dense_600,8,10,3,9341654.210687,0,27448.000000,FEASIBLE
dense_600,8,10,4,9352691.946582,0,27711.000000,FEASIBLE
dense_600,8,11,0,9360083.640640,0,27663.000000,FEASIBLE
dense_600,8,11,1,9356795.044881,0,27205.000000,FEASIBLE
dense_600,8,11,2,9339207.677707,0,26891.000000,FEASIBLE
dense_600,8,11,3,9356768.456398,0,26509.000000,FEASIBLE
dense_600,8,11,4,9359024.256920,0,27707.000000,FEASIBLE
dense_800,6,10,0,15808163.050108,0,79114.000000,FEASIBLE
dense_800,6,10,1,15863498.309772,0,79221.000000,FEASIBLE
dense_800,6,10,2,15813314.166951,0,80203.000000,FEASIBLE
dense_800,6,10,3,15802869.900555,0,79716.000000,FEASIBLE
dense_800,6,10,4,15816451.302792,0,80876.000000,FEASIBLE
dense_800,6,11,0,15821249.129503,0,80707.000000,FEASIBLE
dense_800,6,11,1,15799014.585938,0,80584.000000,FEASIBLE
dense_800,6,11,2,15823228.184687,0,78717.000000,FEASIBLE
dense_800,6,11,3,15862162.517733,0,78801.000000,FEASIBLE
dense_800,6,11,4,15825466.928744,0,79864.000000,FEASIBLE
dense_800,7,10,0,16284259.255605,0,79052.000000,FEASIBLE
dense_800,7,10,1,16299869.350286,0,80367.000000,FEASIBLE
dense_800,7,10,2,16310565.352104,0,79153.000000,FEASIBLE
dense_800,7,10,3,16260955.114289,0,78189.000000,FEASIBLE
dense_800,7,10,4,16312289.650805,0,78103.000000,FEASIBLE
dense_800,7,11,0,16256083.475572,0,79027.000000,FEASIBLE
dense_800,7,11,1,16246746.547224,0,79554.000000,FEASIBLE
dense_800,7,11,2,16254629.192247,0,80945.000000,FEASIBLE
dense_800,7,11,3,16307135.822817,0,80286.000000,FEASIBLE
dense_800,7,11,4,16288319.206094,0,80549.000000,FEASIBLE
dense_800,8,10,0,16635057.569566,0,84392.000000,FEASIBLE
dense_800,8,10,1,16596250.276140,0,81814.000000,FEASIBLE
dense_800,8,10,2,16596235.612160,0,81110.000000,FEASIBLE
dense_800,8,10,3,16634500.670800,0,81772.000000,FEASIBLE
dense_800,8,10,4,16629295.235159,0,80727.000000,FEASIBLE
dense_800,8,11,0,16651239.447444,0,82073.000000,FEASIBLE
dense_800,8,11,1,16656315.671771,0,81802.000000,FEASIBLE
dense_800,8,11,2,16636126.302606,0,81390.000000,FEASIBLE
dense_800,8,11,3,16686235.574784,0,79491.000000,FEASIBLE
dense_800,8,11,4,16613056.639297,0,79872.000000,FEASIBLE
dense_1000,6,10,0,24620068.934604,0,170094.000000,FEASIBLE
dense_1000,6,10,1,24637545.723126,0,165287.000000,FEASIBLE
dense_1000,6,10,2,24694864.626477,0,170553.000000,FEASIBLE
dense_1000,6,10,3,24686556.587376,0,168520.000000,FEASIBLE
dense_1000,6,10,4,24699043.775135,0,168770.000000,FEASIBLE
dense_1000,6,11,0,24682991.283788,0,166331.000000,FEASIBLE
dense_1000,6,11,1,24655450.476271,0,168443.000000,FEASIBLE
dense_1000,6,11,2,24639455.569143,0,164174.000000,FEASIBLE
dense_1000,6,11,3,24666129.278004,0,164385.000000,FEASIBLE
dense_1000,6,11,4,24701881.045814,0,168453.000000,FEASIBLE
dense_1000,7,10,0,25365473.126874,0,174185.000000,FEASIBLE
dense_1000,7,10,1,25354125.055463,0,170030.000000,FEASIBLE
dense_1000,7,10,2,25331973.656468,0,171110.000000,FEASIBLE
dense_1000,7,10,3,25343556.111895,0,172186.000000,FEASIBLE
dense_1000,7,10,4,25382078.065146,0,165795.000000,FEASIBLE
dense_1000,7,11,0,25361029.700295,0,171853.000000,FEASIBLE
dense_1000,7,11,1,25398894.537525,0,174634.000000,FEASIBLE
dense_1000,7,11,2,25356717.989464,0,172678.000000,FEASIBLE
dense_1000,7,11,3,25416286.366569,0,171029.000000,FEASIBLE
dense_1000,7,11,4,25432693.504524,0,169403.000000,FEASIBLE
dense_1000,8,10,0,25917941.708138,0,169213.000000,FEASIBLE
dense_1000,8,10,1,25927322.241829,0,173466.000000,FEASIBLE
dense_1000,8,10,2,25995526.079256,0,173048.000000,FEASIBLE
dense_1000,8,10,3,25990103.063048,0,172661.000000,FEASIBLE
dense_1000,8,10,4,25947647.903816,0,175339.000000,FEASIBLE
dense_1000,8,11,0,26028697.483235,0,175314.000000,FEASIBLE
dense_1000,8,11,1,25865964.722369,0,175521.000000,FEASIBLE
dense_1000,8,11,2,26002398.483392,0,171698.000000,FEASIBLE
dense_1000,8,11,3,26001819.478713,0,173907.000000,FEASIBLE
dense_1000,8,11,4,25944121.935985,0,173668.000000,FEASIBLE
dense_700,6,10,0,12093234.896555,0,46730.000000,FEASIBLE
dense_700,6,10,1,12141073.267849,0,49232.000000,FEASIBLE
dense_700,6,10,2,12151859.463728,0,48033.000000,FEASIBLE
dense_700,6,10,3,12096290.457023,0,47924.000000,FEASIBLE
dense_700,6,10,4,12149719.449585,0,48046.000000,FEASIBLE
dense_700,6,11,0,12128819.995348,0,47770.000000,FEASIBLE
dense_700,6,11,1,12131238.931692,0,47050.000000,FEASIBLE
dense_700,6,11,2,12124777.588115,0,46807.000000,FEASIBLE
dense_700,6,11,3,12124649.345079,0,47290.000000,FEASIBLE
dense_700,6,11,4,12136754.908075,0,47100.000000,FEASIBLE
dense_700,7,10,0,12479540.608087,0,48134.000000,FEASIBLE
dense_700,7,10,1,12482805.138988,0,48114.000000,FEASIBLE
dense_700,7,10,2,12483281.142086,0,48290.000000,FEASIBLE
dense_700,7,10,3,12470436.635675,0,48642.000000,FEASIBLE
dense_700,7,10,4,12467579.867324,0,47378.000000,FEASIBLE
dense_700,7,11,0,12482958.222818,0,47578.000000,FEASIBLE
dense_700,7,11,1,12481934.045204,0,47724.000000,FEASIBLE
dense_700,7,11,2,12467595.158648,0,47015.000000,FEASIBLE
dense_700,7,11,3,12462983.520055,0,47380.000000,FEASIBLE
dense_700,7,11,4,12479580.685549,0,47091.000000,FEASIBLE
dense_700,8,10,0,12789272.877978,0,49210.000000,FEASIBLE
dense_700,8,10,1,12730921.477719,0,49107.000000,FEASIBLE
dense_700,8,10,2,12722516.332874,0,48823.000000,FEASIBLE
dense_700,8,10,3,12766671.752114,0,47572.000000,FEASIBLE
dense_700,8,10,4,12774149.444490,0,48304.000000,FEASIBLE
dense_700,8,11,0,12705094.313618,0,48897.000000,FEASIBLE
dense_700,8,11,1,12736982.910576,0,52758.000000,FEASIBLE
dense_700,8,11,2,12760516.416285,0,52205.000000,FEASIBLE
dense_700,8,11,3,12727792.982573,0,50546.000000,FEASIBLE
dense_700,8,11,4,12750732.513175,0,49179.000000,FEASIBLE
dense_500,6,10,0,6167092.297246,0,12345.000000,FEASIBLE
dense_500,6,10,1,6168505.150130,0,11542.000000,FEASIBLE
dense_500,6,10,2,6167433.179435,0,11635.000000,FEASIBLE
dense_500,6,10,3,6141656.146766,0,11063.000000,FEASIBLE
dense_500,6,10,4,6165499.891262,0,13641.000000,FEASIBLE
